Id,total_activity,user_categorization
4057192912,4,low_activity
2347167796,18,medium_activity
8253242879,19,medium_activity
3372868164,20,medium_activity
6775888955,26,high_activity
7007744171,26,high_activity
6117666160,28,high_activity
8792009665,29,high_activity
6290855005,29,high_activity
1644430081,30,high_activity
3977333714,30,high_activity
5577150313,30,high_activity
1624580081,31,high_activity
2022484408,31,high_activity
4319703577,31,high_activity
4388161847,31,high_activity
4702921684,31,high_activity
6962181067,31,high_activity
7086361926,31,high_activity
8583815059,31,high_activity
1844505072,31,high_activity
1927972279,31,high_activity
2026352035,31,high_activity
2320127002,31,high_activity
2873212765,31,high_activity
4020332650,31,high_activity
4445114986,31,high_activity
4558609924,31,high_activity
5553957443,31,high_activity
8053475328,31,high_activity
8378563200,31,high_activity
8877689391,31,high_activity
1503960366,31,high_activity
